service_name,annual_price_1_year_rs,annual_price_2_year_rs,annual_price_3_year_rs,weekly_buylead_allocation,daily_bonus_buylead,estimated_monthly_revenue_rs,estimated_daily_revenue_rs,revenue_tier
Free,0,0,0,0,0,0,0,Free
IM IL,750000,1500000,2250000,70,2,"62,500 ","2,055 ",High
IM Leader Pro,200000,400000,600000,40,1,"16,667 ",548 ,Medium
IM Star Pro,100000,200000,300000,30,1,"8,333 ",274 ,Low
Maximiser Pro,75000,120000,150000,21,1,"6,250 ",205 ,Low
Mini Dynamic Catalog (Annual),32000,55000,72000,10,1,"2,667 ",88 ,Low
Mini Dynamic Catalog (Monthly),48000,60000,80000,7,1,333 ,11 ,Low
Trustseal Pro,50000,80000,100000,14,1,"4,167 ",137 ,Low
